paper_id,title,authors,year,venue,doi_verified,url,publication_type,architectures,dataset,quantization_method,hardware,software_runtime,metrics,android_device_used,main_contribution,limitations,relevance,verification_status
P16,"Efficient Hardware-aware Neural Architecture Search for Image Super-resolution on Mobile Devices","Xindong Zhang; Hui Zeng; Lei Zhang",2022,ACCV,,https://openaccess.thecvf.com/content/ACCV2022/html/Zhang_Efficient_Hardware-aware_Neural_Architecture_Search_for_Image_Super-resolution_on_Mobile_ACCV_2022_paper.html,conference,searched_SR_networks,SR_benchmarks,none,"two mobile devices",mobile_deployment_stack,"quality; latency; search cost",yes,"Uses measured mobile latency as direct NAS constraint","Super-resolution search; not quantization selection",direct,verified_primary
P17,"Performance Characterization of using Quantization for DNN Inference on Edge Devices: Extended Version","Hyunho Ahn; Tian Chen; Nawras Alnaasan; Aamir Shafi; Mustafa Abduljabbar; Hari Subramoni; Dhabaleswar K. Panda",2023,arXiv,,https://arxiv.org/abs/2303.05016,preprint,"MobileNetV2; VGG-19; DenseNet-121",MLPerf_datasets,"FP16; INT8 static/dynamic","Intel x86; Raspberry Pi ARM","OpenVINO; TFLite; ONNX; PyTorch","latency; throughput; accuracy",no,"Shows quantization benefit depends on optimized framework/hardware pairing","No smartphone; limited memory/thermal analysis",direct,verified_preprint
P18,"MobileOne: An Improved One Millisecond Mobile Backbone","Pavan Kumar Anasosalu Vasu; James Gabriel; Jeff Zhu; Oncel Tuzel; Anurag Ranjan",2023,CVPR,,https://openaccess.thecvf.com/content/CVPR2023/html/Vasu_MobileOne_An_Improved_One_Millisecond_Mobile_Backbone_CVPR_2023_paper.html,conference,MobileOne,"ImageNet; detection/segmentation datasets",none,"iPhone 12; Pixel 6; desktop",target_specific_runtimes,"accuracy; latency; FLOPs; parameters",yes_non_android,"Shows FLOPs/parameters may not correlate with mobile latency","Apple-centered headline; no quantization comparison",direct,verified_primary
P19,"FastViT: A Fast Hybrid Vision Transformer Using Structural Reparameterization","Pavan Kumar Anasosalu Vasu; James Gabriel; Jeff Zhu; Oncel Tuzel; Anurag Ranjan",2023,ICCV,,https://openaccess.thecvf.com/content/ICCV2023/html/Vasu_FastViT_A_Fast_Hybrid_Vision_Transformer_Using_Structural_Reparameterization_ICCV_2023_paper.html,conference,FastViT,"ImageNet; downstream vision datasets",none,"mobile device; desktop GPU",Apple_mobile_stack,"accuracy; latency; robustness",yes_non_android,"Reduces memory-access cost via reparameterization","Not a quantization/runtime study",direct,verified_primary
P20,"EfficientViT: Lightweight Multi-Scale Attention for High-Resolution Dense Prediction","Han Cai; Junyan Li; Muyan Hu; Chuang Gan; Song Han",2023,ICCV,,https://openaccess.thecvf.com/content/ICCV2023/html/Cai_EfficientViT_Lightweight_Multi-Scale_Attention_for_High-Resolution_Dense_Prediction_ICCV_2023_paper.html,conference,EfficientViT,"ImageNet; Cityscapes; ADE20K; COCO",none,"edge/mobile hardware",target_runtime,"accuracy; latency; throughput",not_clear,"Hardware-efficient attention and memory layout","Dense prediction; quantization not central",related,verified_primary
P21,"I-ViT: Integer-only Quantization for Efficient Vision Transformer Inference","Zhikai Li; Qingyi Gu",2023,ICCV,,https://openaccess.thecvf.com/content/ICCV2023/html/Li_I-ViT_Integer-only_Quantization_for_Efficient_Vision_Transformer_Inference_ICCV_2023_paper.html,conference,"DeiT; Swin; ViTs",ImageNet,"integer-only INT8 including nonlinear ops","GPU integer units",TVM,"accuracy; speedup",no,"Integer-only approximations for softmax GELU and LayerNorm","TVM/GPU rather than Android LiteRT",direct,verified_primary
P22,"QBitOpt: Fast and Accurate Bitwidth Reallocation During Training","Jorn Peters; Marios Fournarakis; Markus Nagel; Mart van Baalen; Tijmen Blankevoort",2023,"ICCV Workshops",,https://openaccess.thecvf.com/content/ICCV2023W/RCV/html/Peters_QBitOpt_Fast_and_Accurate_Bitwidth_Reallocation_During_Training_ICCVW_2023_paper.html,conference_workshop,"multiple CNNs",ImageNet,"mixed-precision QAT with constrained optimization",not_central,research_framework,"accuracy; resource constraint",no,"Meets explicit mixed-precision constraints","No real Android benchmark",related,verified_primary
P23,"A2Q: Accumulator-Aware Quantization with Guaranteed Overflow Avoidance","Ian Colbert; Alessandro Pappalardo; Jakoba Petri-Koenig",2023,ICCV,,https://openaccess.thecvf.com/content/ICCV2023/html/Colbert_A2Q_Accumulator-Aware_Quantization_with_Guaranteed_Overflow_Avoidance_ICCV_2023_paper.html,conference,"multiple CNNs",ImageNet,"accumulator-aware low-precision QAT","general/programmable hardware",research_framework,"accuracy; overflow; hardware cost",no,"Makes accumulator width a quantization constraint","Not Android PTQ/runtime selection",related,verified_primary
P24,"XiNet: Efficient Neural Networks for tinyML","Alberto Ancilotto; Francesco Paissan; Elisabetta Farella",2023,ICCV,,https://openaccess.thecvf.com/content/ICCV2023/html/Ancilotto_XiNet_Efficient_Neural_Networks_for_tinyML_ICCV_2023_paper.html,conference,XiNet,"ImageNet; COCO; VOC2012",none,"microcontrollers/edge devices",tinyML_stack,"accuracy; RAM; flash; operations; energy",no,"Hardware-aware scaling separates RAM flash and operations","tinyML rather than Android",related,verified_primary
P25,"MobileNetV4: Universal Models for the Mobile Ecosystem","Danfeng Qin; Chas Leichner; Manolis Delakis; Marco Fornoni; Shixin Luo; Fan Yang; Weijun Wang; Colby Banbury; Chengxi Ye; Berkin Akin; Vaibhav Aggarwal; Tenghui Zhu; Daniele Moro; Andrew Howard",2024,ECCV,,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/05647.pdf,conference,MobileNetV4,ImageNet-1K,not_primary,"mobile CPU; DSP; GPU; ANE; EdgeTPU",multiple_target_runtimes,"accuracy; latency; Pareto efficiency",yes,"Universal blocks and NAS across heterogeneous accelerators","No isolated standard PTQ/delegate ranking",direct,verified_primary
P26,"RepViT: Revisiting Mobile CNN From ViT Perspective","Ao Wang; Hui Chen; Zijia Lin; Jungong Han; Guiguang Ding",2024,CVPR,,https://openaccess.thecvf.com/content/CVPR2024/html/Wang_RepViT_Revisiting_Mobile_CNN_From_ViT_Perspective_CVPR_2024_paper.html,conference,RepViT,"ImageNet; downstream datasets",none,"iPhone 12",mobile_runtime,"accuracy; latency",yes_non_android,"Reworks MobileNetV3 using efficient ViT designs","No precision/delegate/thread comparison",related,verified_primary
P27,"QuantNAS: Quantization-aware Neural Architecture Search For Efficient Deployment On Mobile Device","Tianxiao Gao; Li Guo; Shanwei Zhao; Peihan Xu; Yukun Yang; Xionghao Liu; Shihao Wang; Shiai Zhu; Dajiang Zhou",2024,"CVPR Workshops",,https://openaccess.thecvf.com/content/CVPR2024W/CVPR-NAS/html/Gao_QuantNAS_Quantization-aware_Neural_Architecture_Search_For_Efficient_Deployment_On_Mobile_CVPRW_2024_paper.html,conference_workshop,quantized_supernet,ImageNet-1K,"quantization-aware NAS","Kirin 9000 mobile CPU",on_device_quantized_runtime,"accuracy; latency",yes,"Includes on-device quantized implementation in NAS","Specialized NAS; one hardware family; not off-the-shelf TFLite selection",direct,verified_primary
P28,"Edge Inference With Fully Differentiable Quantized Mixed Precision Neural Networks","Clemens J. S. Schaefer; Siddharth Joshi; Shan Li; Raul Blazquez",2024,WACV,,https://openaccess.thecvf.com/content/WACV2024/html/Schaefer_Edge_Inference_With_Fully_Differentiable_Quantized_Mixed_Precision_Neural_Networks_WACV_2024_paper.html,conference,"EfficientNet-Lite0; MobileNetV2",ImageNet,"differentiable mixed precision",edge_cost_model,research_implementation,"accuracy; memory; Pareto front",not_reported,"Learns tensor-sliced precision with hardware-aware cost","Android runtime behavior not central",direct,verified_primary
P29,"PikeLPN: Mitigating Overlooked Inefficiencies of Low-Precision Neural Networks","Marina Neseem; Conor McCullough; Randy Hsin; Chas Leichner; Shan Li; In Suk Chong; Andrew Howard; Lukasz Lew; Sherief Reda; Ville-Mikko Rautio; Daniele Moro",2024,CVPR,,https://openaccess.thecvf.com/content/CVPR2024/html/Neseem_PikeLPN_Mitigating_Overlooked_Inefficiencies_of_Low-Precision_Neural_Networks_CVPR_2024_paper.html,conference,PikeLPN,ImageNet,"low-precision design; ACEv2 cost",ML_hardware,hardware_cost_analysis,"accuracy; efficiency; energy-aligned cost",not_clear,"Shows unquantized elementwise ops can dominate low-precision cost","Designed architecture rather than standard Android PTQ comparison",direct,verified_primary
P30,"MobileNVC: Real-Time 1080p Neural Video Compression on a Mobile Device","Ties van Rozendaal et al.",2024,WACV,,https://openaccess.thecvf.com/content/WACV2024/html/van_Rozendaal_MobileNVC_Real-Time_1080p_Neural_Video_Compression_on_a_Mobile_Device_WACV_2024_paper.html,conference,MobileNVC,video_compression,"integer quantization","mobile neural processor; GPU; warping core",heterogeneous_mobile_pipeline,"rate-distortion; latency; MACs",yes,"Coordinates heterogeneous accelerators with quantization ablation","Specialized video codec/vendor hardware",related,verified_primary
P31,"Designing Extremely Memory-Efficient CNNs for On-device Vision Tasks","Jaewook Lee; Yoel Park; Seulki Lee",2024,ACCV,,https://openaccess.thecvf.com/content/ACCV2024/html/Lee_Designing_Extremely_Memory-Efficient_CNNs_for_On-device_Vision_Tasks_ACCV_2024_paper.html,conference,memory_efficient_CNNs,vision_benchmarks,not_primary,"low-end devices",on_device_runtime,"accuracy; peak memory; latency",not_clear,"Makes peak activation memory a direct objective","Quantization/runtime selection not central",related,verified_primary
P32,"MobileAIBench: Benchmarking LLMs and LMMs for On-Device Use Cases","Rithesh Murthy; Liangwei Yang; Juntao Tan; Tulika Manoj Awalgaonkar; Yilun Zhou; Shelby Heinecke; Sachin Desai; Jason Wu; Ran Xu; Sarah Tan; Jianguo Zhang; Zhiwei Liu; Shirley Kokane; Zuxin Liu; Ming Zhu; Huan Wang; Caiming Xiong; Silvio Savarese",2024,arXiv,,https://arxiv.org/abs/2406.10290,preprint,"mobile LLMs/LMMs",language_multimodal,"multiple quantization levels","real iOS devices","desktop library; iOS app","quality; latency; hardware utilization",yes_non_android,"Benchmarks quantization and resource use on real phones","LLM/LMM and iOS; not Android image classification",related,verified_preprint
P33,"Hardware optimization on Android for inference of AI models","Iulius Gherasim; Carlos García Sánchez",2025,arXiv,,https://arxiv.org/abs/2511.13453,preprint,"ResNet family; YOLOv8; YOLO11","ImageNet-1K validation; COCO validation","FP32; FP16; INT8; full INT8; INT16; full INT16; dynamic","Samsung Galaxy Tab S9; Snapdragon 8 Gen 2 CPU GPU NPU","PyTorch to ONNX to TFLite via onnx2tf; LiteRT","average latency; accuracy; speedup; Pareto front",yes,"Compares precision accelerator and multithreading configurations and proposes Pareto selection","One high-end tablet; average latency emphasis; no raw distributions tail percentiles repeated blocks thermal or memory analysis reported",direct,verified_preprint_fulltext
P34,"EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks","Mingxing Tan; Quoc V. Le",2019,ICML,,https://proceedings.mlr.press/v97/tan19a.html,conference,"EfficientNet-B0 to B7","ImageNet; CIFAR-100; Flowers and transfer datasets",none,"accelerator/server measurements",TensorFlow_research_stack,"accuracy; parameters; FLOPs; inference speed",no,"Compound depth width and resolution scaling yields efficient transfer-learning backbones","Not designed specifically for current Android quantization/delegate behavior",direct,verified_primary
