config_efficientnet_b0_float16__xnnpack_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,float16,xnnpack_cpu/4t,reported
config_efficientnet_b0_float32__builtin_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,float32,builtin_cpu/1t,reported
config_efficientnet_b0_float32__builtin_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,float32,builtin_cpu/2t,reported
config_efficientnet_b0_float32__builtin_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,float32,builtin_cpu/4t,reported
config_efficientnet_b0_float32__xnnpack_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,float32,xnnpack_cpu/1t,reported
config_efficientnet_b0_float32__xnnpack_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,float32,xnnpack_cpu/2t,reported
config_efficientnet_b0_float32__xnnpack_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,float32,xnnpack_cpu/4t,reported
config_efficientnet_b0_full_int8__builtin_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,full_int8,builtin_cpu/1t,reported
config_efficientnet_b0_full_int8__builtin_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,full_int8,builtin_cpu/2t,reported
config_efficientnet_b0_full_int8__builtin_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,full_int8,builtin_cpu/4t,reported
config_efficientnet_b0_full_int8__xnnpack_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,full_int8,xnnpack_cpu/1t,reported
config_efficientnet_b0_full_int8__xnnpack_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,full_int8,xnnpack_cpu/2t,reported
config_efficientnet_b0_full_int8__xnnpack_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,full_int8,xnnpack_cpu/4t,reported
config_mobilenet_v2_dynamic_int8__builtin_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,dynamic_int8,builtin_cpu/1t,reported
config_mobilenet_v2_dynamic_int8__builtin_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,dynamic_int8,builtin_cpu/2t,reported
config_mobilenet_v2_dynamic_int8__builtin_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,dynamic_int8,builtin_cpu/4t,reported
config_mobilenet_v2_dynamic_int8__xnnpack_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,dynamic_int8,xnnpack_cpu/1t,reported
config_mobilenet_v2_dynamic_int8__xnnpack_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,dynamic_int8,xnnpack_cpu/2t,reported
config_mobilenet_v2_dynamic_int8__xnnpack_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,dynamic_int8,xnnpack_cpu/4t,reported
config_mobilenet_v2_float16__builtin_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,float16,builtin_cpu/1t,reported
config_mobilenet_v2_float16__builtin_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,float16,builtin_cpu/2t,reported
config_mobilenet_v2_float16__builtin_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,float16,builtin_cpu/4t,reported
config_mobilenet_v2_float16__xnnpack_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,float16,xnnpack_cpu/1t,reported
config_mobilenet_v2_float16__xnnpack_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,float16,xnnpack_cpu/2t,reported
config_mobilenet_v2_float16__xnnpack_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,float16,xnnpack_cpu/4t,reported
config_mobilenet_v2_float32__builtin_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,float32,builtin_cpu/1t,reported
config_mobilenet_v2_float32__builtin_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,float32,builtin_cpu/2t,reported
config_mobilenet_v2_float32__builtin_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,float32,builtin_cpu/4t,reported
config_mobilenet_v2_float32__xnnpack_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,float32,xnnpack_cpu/1t,reported
config_mobilenet_v2_float32__xnnpack_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,float32,xnnpack_cpu/2t,reported
config_mobilenet_v2_float32__xnnpack_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,float32,xnnpack_cpu/4t,reported
config_mobilenet_v2_full_int8__builtin_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,full_int8,builtin_cpu/1t,reported
config_mobilenet_v2_full_int8__builtin_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,full_int8,builtin_cpu/2t,reported
config_mobilenet_v2_full_int8__builtin_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,full_int8,builtin_cpu/4t,reported
config_mobilenet_v2_full_int8__xnnpack_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,full_int8,xnnpack_cpu/1t,reported
config_mobilenet_v2_full_int8__xnnpack_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,full_int8,xnnpack_cpu/2t,reported
config_mobilenet_v2_full_int8__xnnpack_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v2,full_int8,xnnpack_cpu/4t,reported
config_mobilenet_v3_small_dynamic_int8__builtin_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,dynamic_int8,builtin_cpu/1t,reported
config_mobilenet_v3_small_dynamic_int8__builtin_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,dynamic_int8,builtin_cpu/2t,reported
config_mobilenet_v3_small_dynamic_int8__builtin_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,dynamic_int8,builtin_cpu/4t,reported
config_mobilenet_v3_small_dynamic_int8__xnnpack_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,dynamic_int8,xnnpack_cpu/1t,reported
config_mobilenet_v3_small_dynamic_int8__xnnpack_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,dynamic_int8,xnnpack_cpu/2t,reported
config_mobilenet_v3_small_dynamic_int8__xnnpack_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,dynamic_int8,xnnpack_cpu/4t,reported
config_mobilenet_v3_small_float16__builtin_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,float16,builtin_cpu/1t,reported
config_mobilenet_v3_small_float16__builtin_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,float16,builtin_cpu/2t,reported
config_mobilenet_v3_small_float16__builtin_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,float16,builtin_cpu/4t,reported
config_mobilenet_v3_small_float16__xnnpack_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,float16,xnnpack_cpu/1t,reported
config_mobilenet_v3_small_float16__xnnpack_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,float16,xnnpack_cpu/2t,reported
config_mobilenet_v3_small_float16__xnnpack_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,float16,xnnpack_cpu/4t,reported
config_mobilenet_v3_small_float32__builtin_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,float32,builtin_cpu/1t,reported
config_mobilenet_v3_small_float32__builtin_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,float32,builtin_cpu/2t,reported
config_mobilenet_v3_small_float32__builtin_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,float32,builtin_cpu/4t,reported
